Palavra-chave de pesquisa
1 de junho de 2026 - 6 de agosto de 2026
Pesquisar palavra-chave,Status da palavra-chave da rede de pesquisa,Motivos do status da palavra-chave da rede de pesquisa,Pesquisar tipo de correspondência de palavra-chave,Campanha,Grupo de anúncios,Código da moeda,CPC máx. da palavra-chave,Índice de qualidade,Detalhes da qualidade do anúncio (nível da campanha),Detalhes da qualidade do anúncio (nível do grupo de anúncios),CTR esper.,Relevância do anúncio,Exp. na página de destino,Cliques,Impr.,CTR,CPC méd.,Custo,% de impr. (1ª posição),% de impr. (parte sup.),Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,CPM médio
contratar resgate aéreo,Pausado,"raramente exibido, pausado",Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço de UTI aérea,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Helicóptero para resgate médico,Pausado,"raramente exibido, pausado",Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico pdf,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uti aerea mato grosso,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",6,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Abaixo da média,Na média,0,4,"0,00%",0,"0,00","33,33%","100,00%","0,00",0,0,0,"0,00"
Avião de UTI neonatal,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço aeromédico 24 horas,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião UTI para emergências,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Avião com UTI equipada,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Serviço médico de emergência aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Remoção médica aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Emergência médica aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Ambulância aérea para pacientes críticos,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Resgate médico com helicóptero,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Remoção aérea para hospitais,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Ambulância Aerea 24 horas,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Como contratar ambulância aérea,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Helicóptero com UTI equipada,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Remoção hospitalar por helicóptero,Pausado,"raramente exibido, pausado",Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeromédico porto alegre,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
UTI aérea pediátrica,Pausado,pausado,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
aeromedi,Limitado,baixa qualidade,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",1,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Abaixo da média,Abaixo da média,0,7,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
voo sanitario,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01",3,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Acima da média,Abaixo da média,0,8,"0,00%",0,"0,00","0,00%","33,33%","0,00",0,0,0,"0,00"
custo transporte aeromedico,Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
empresa de transporte aeromédico,Qualificado, --,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,2,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
cotação urgente de transporte aeromédico,Não qualificado,raramente exibido,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte de paciente com avião,Não qualificado,raramente exibido,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Remoção Avião UTI,Não qualificado,raramente exibido,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
remocao uti aerea,Qualificado, --,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,2,"0,00%",0,"0,00","100,00%","100,00%","0,00",0,0,0,"0,00"
"UTI Aérea 24 Horas""",Não qualificado,raramente exibido,Correspondência de frase,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Cotação UTI Aérea,Não qualificado,raramente exibido,Correspondência ampla,"v4 |🧑‍⚕️| search_aeromedico_s | PR, RS, SC e SP",aeromedico,BRL,"0,01", --,"Pendentes: 1
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
transporte aeromédico unimed,Limitado,baixa qualidade,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Na média,Abaixo da média,0,3,"0,00%",0,"0,00","0,00%","33,33%","0,00",0,0,0,"0,00"
aeromedica unimed,Limitado,baixa qualidade,Correspondência ampla,v4 | search_institucional | BR,brand,BRL,"0,01",1,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 1
Excelente: 0", --,Abaixo da média,Abaixo da média,Abaixo da média,0,8,"0,00%",0,"0,00","33,33%","83,33%","0,00",0,0,0,"0,00"
taxi aéreo helicóptero,Pausado,pausado,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo são paulo,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Na média,Acima da média,Abaixo da média,0,2,"0,00%",0,"0,00","0,00%","0,00%","0,00",0,0,0,"0,00"
taxi aereo sao paulo,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,3,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
helicopter taxi,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
voo privado,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",6,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Na média,Abaixo da média,0,33,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
aulas de piloto de avião,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,5,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
taxi aereo sp,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Abaixo da média,0,8,"0,00%",0,"0,00","0,00%","57,14%","0,00",0,0,0,"0,00"
aulas de pilotagem de avião,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi helicóptero,Pausado,pausado,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uber helicoptero,Pausado,pausado,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
voo privado,Pausado,pausado,Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",6,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Na média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
táxi aéreo helicóptero,Pausado,pausado,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aéreo sp,Limitado,baixa qualidade,Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",2,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Abaixo da média,Na média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo helicoptero sao paulo,Pausado,pausado,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
uber helicoptero,Pausado,pausado,Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
voo particular,Pausado,pausado,Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Acima da média,Acima da média,Abaixo da média,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aéreo sao paulo,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aéreo helicóptero,Pausado,pausado,Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo sao paulo agora,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo sao paulo agora,Pausado,"raramente exibido, pausado",Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
contratar serviço de táxi aéreo,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
helicóptero executivo aluguel,Pausado,"raramente exibido, pausado",Correspondência de frase,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
contratar serviço de táxi aéreo,Pausado,"raramente exibido, pausado",Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
helicóptero executivo aluguel,Pausado,"raramente exibido, pausado",Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Transfer de guarulhos para congonhas,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,3,"0,00%",0,"0,00",0,0,"0,00",0,0,0,"0,00"
Cotação Táxi Aéreo,Não qualificado,raramente exibido,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Orçamento táxi aéreo,Qualificado, --,Correspondência ampla,v4 |✈️| search_taxiaereo | SP,taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 0
Boa: 0
Excelente: 2", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo sao paulo,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo angra dos reis,Pausado,pausado,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo campinas,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo internacional,Pausado,pausado,Correspondência de frase,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo rj,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo sp,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",6,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Na média,Abaixo da média,0,11,"0,00%",0,"0,00","0,00%","50,00%","0,00",0,0,0,"0,00"
serviço de taxi aereo,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
táxi aéreo rio de janeiro,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
fretamento de jatinho,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
taxi aereo em florianopolis,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",7,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Acima da média,Acima da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
contratar serviço de táxi aéreo,Pausado,"raramente exibido, pausado",Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
helicóptero executivo aluguel,Pausado,"raramente exibido, pausado",Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
Taxi aero porto alegre,Qualificado, --,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01",5,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Na média,Acima da média,Abaixo da média,0,1,"0,00%",0,"0,00","0,00%","100,00%","0,00",0,0,0,"0,00"
Cotação Táxi Aéreo,Não qualificado,raramente exibido,Correspondência ampla,"v4 |✈️| search_taxiaereo_outros | SC, RS e PR",taxiaereo,BRL,"0,01", --,"Pendentes: 0
Nenhum anúncio: 0
Ruim: 0
Média: 1
Boa: 0
Excelente: 0", --,Não relevante,Não relevante,Não relevante,0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
